core,depth,normalized_per_1cc,planktic_percent
SR19P4,1,,
SR19P4,2,,
SR19P4,3,40.8,0.009803921568627453
SR19P4,4,70.4,0.011363636363636364
SR19P4,5,124.8,0.0
SR19P4,6,105.6,0.0
SR19P4,7,67.2,0.0
SR19P4,8,21.6,0.0
SR19P4,9,42.4,0.0
SR19P4,10,2.4,0.0
SR19P4,11,0.8,0.0
SR19P4,12,47.2,0.0
SR19P4,13,38.4,0.0
SR19P4,14,21.2,0.03773584905660378
SR19P4,15,34.8,0.01149425287356322
SR19P4,16,68.0,0.011764705882352941
SR19P4,17,63.2,0.06329113924050632
SR19P4,18,48.0,0.03333333333333333
SR19P4,19,,
SR19P4,20,,
SR19P4,30,10.4,0.0
SR19P4,40,88.0,0.018181818181818184
SR19P4,47,35.2,0.022727272727272728
SR19P4,54,90.4,0.008849557522123894
SR19P4,61,40.8,0.0
SR19P4,71,2.4,0.33333333333333337
SR19P4,76,27.2,0.0
SR19P4,86,65.6,0.07317073170731708
SR19P4,96,24.0,0.05
SR19P4,106,36.8,0.0
SR19P4,122,72.8,0.9560439560439559
SR19P4,132,72.0,0.06666666666666667
SR19P4,142,52.0,0.0
SR19P4,171,49.6,0.16129032258064516
SR19P4,183,37.6,0.2127659574468085
SR19P4,193,11.2,0.14285714285714288
SR19P4,202,69.6,0.10344827586206899
SR19P4,212,12.0,0.13333333333333333
SR19P4,222,14.133333333333335,0.05660377358490567
SR19P4,235,54.8,0.16058394160583944
SR19P4,239,9.866666666666667,0.29729729729729726
SR19P4,242,8.4,0.07142857142857142
SR19P4,245,34.4,0.10077519379844961
SR19P4,255,25.333333333333336,0.1789473684210526
SR19P4,263,29.6,0.0900900900900901
SR21P7,1,24.0,0.16666666666666663
SR21P7,2,11.2,0.0
SR21P7,4,3.2,0.0
SR21P7,7,9.6,0.0
SR21P7,6,4.8,0.0
SR21P7,8,2.4,0.0
SR21P7,10,8.0,0.0
SR21P7,11,6.4,0.0
SR21P7,12,38.4,0.020833333333333336
SR21P7,13,32.8,0.0
SR21P7,14,15.2,0.0
SR21P7,15,80.8,0.0297029702970297
SR21P7,16,21.6,0.0
SR21P7,17,18.4,0.0
SR21P7,18,78.4,0.010204081632653062
SR21P7,19,70.4,0.011363636363636364
SR21P7,20,54.4,0.029411764705882356
SR21P7,30,18.4,0.0
SR21P7,40,274.4,0.0029154518950437317
SR21P7,50,143.2,0.027932960893854754
SR21P7,60,40.8,0.019607843137254905
SR21P7,70,57.6,0.02777777777777778
SR21P7,80,27.2,0.029411764705882356
SR21P7,90,59.2,0.05405405405405405
SR21P7,99,36.8,0.06521739130434782
SR21P7,100,36.8,0.04347826086956522
SR21P7,101,111.2,0.05035971223021582
SR21P7,110,28.26666666666667,0.04716981132075472
SR21P7,114,0.6,0.0
SR21P7,118,17.6,0.12121212121212119
SR21P7,127,1.6,0.125
SR21P7,130,1.8,0.11111111111111112
SR21P7,138,3.4,0.17647058823529413
SR21P7,147,4.0,0.05
SR21P7,150,1.8,0.11111111111111112
SR21P7,160,3.0,0.13333333333333333
SR21P7,170,5.866666666666666,0.0
SR21P7,180,1.0,0.0
SR21P7,194,4.4,0.18181818181818182
SR21P7,200,0.0,0.0
SR21P7,210,0.2,0.0
SR21P7,217,1.0,0.2
SR21P7,229,0.32,0.0
SR21P7,234,2.8,0.14285714285714288
