depth,Mg,Al,Si,P,S,K,Ca,Mn,Fe,Ti,V,Cr,Co,Ni,Cu,Zn,Sr,Rb,As,Zr,Br,Ba,Ce,Pb,Th,U
1,16333.62997,75524.66353,206992.5622,736.5673123,5248.025436,10145.10448,17084.81489,1042.536918,66858.25632,9032.002709,82.02746515,62.88092578,35.2070458,71.3363571,50.51893114,340.652451,190.2081627,61.76513771,8.3829265,202.668664,77.393444,207.6573283,92.67781269,11.54898769,6.12664313,1.544902697
2,14645.89037,69363.80994,209692.648,814.8521613,5282.673186,10187.0328,23432.50599,1117.528866,64356.6598,9751.069104,107.5204108,74.73683518,31.68808384,66.51453473,40.56789936,178.6833095,228.2119371,59.5815221,7.665425665,215.6488907,68.98043196,262.6152399,63.6840425,10.559866,4.819588763,3.257482156
3,15621.06114,74704.80938,204622.259,714.8912594,6575.260501,10309.64831,15850.91494,992.5279478,66871.32653,8869.783747,76.92599739,60.63387288,37.95723467,75.64311505,47.28535754,168.0367297,181.4156918,63.32980712,7.876140232,208.5438898,76.81933355,215.0122649,72.66186619,12.32495512,7.496119814,3.845058346
4,16104.34696,75835.55882,208285.4101,742.9645882,6587.918923,10459.86252,16016.75077,964.4741388,66847.45674,8992.264224,75.98986238,60.62305893,34.98908368,72.69475158,47.90692755,170.8032733,186.6623948,62.99186133,7.019945138,209.2031576,76.33566875,227.4756836,75.43918828,12.03508082,6.355588778,1.843361748
5,15299.88073,73915.51037,204283.6146,693.0389443,6489.579446,10583.88985,15193.69714,949.4526569,66942.36068,8991.729803,100.2027514,89.26845741,39.68070208,75.34967497,46.66359817,285.6200214,195.7303843,62.37386914,9.274059643,206.7995076,71.80867662,237.5160576,112.7727957,12.00295814,7.250576768,4.862317609
6,15072.68159,73833.40814,201037.8992,649.6121108,6014.01359,10308.53053,14242.25225,906.8415645,66215.73984,8945.760708,98.63892813,96.64649952,41.28303589,72.94247907,48.32581209,165.8743725,173.3383506,63.02268478,8.201350225,204.6338636,74.35319777,227.1613558,92.70764492,10.9974104,6.309582817,0.901013615
7,15208.99349,74603.98177,199209.5143,634.9187378,5776.998908,10038.18305,13334.3535,868.9731648,66448.96227,8632.031025,65.14107914,67.47800165,36.84933483,70.48660177,49.60646319,247.2591148,170.8479779,63.23323085,9.194820521,197.1875418,80.7373396,206.875384,74.81677166,11.41233713,5.19579053,1.263990135
10,15039.4945,73961.46949,208906.7443,760.6591118,6474.156019,10874.52585,16801.39996,1058.36247,66356.9907,9179.696139,115.3652827,91.2807931,44.77982164,76.77076063,45.52407317,124.0701594,197.1114803,62.96425832,7.277513342,213.4276464,67.17364004,233.2778643,77.10275658,10.59077706,6.990790363,1.533974398
11,14606.40048,72880.97257,197557.6662,735.1376777,5706.256023,9908.697864,15695.28946,1109.366952,66841.99856,8745.248873,103.6649631,93.05023292,41.05454985,76.33154165,50.93545565,196.2930635,183.7486559,62.42177516,6.844550814,194.2426601,74.01394718,215.2510099,103.6385936,9.698801051,6.584642635,2.652647742
12,15054.75208,72979.58155,200983.3077,701.687566,5281.325346,9774.063193,13713.40413,998.6619198,66816.26037,9404.135938,115.0319519,98.91153315,43.31097557,75.2050254,46.54129689,130.1654457,177.2903643,62.22740507,6.826553549,210.7614164,70.99183645,222.2743892,92.31826895,11.95959711,6.069325301,1.709322906
