,Mg,Al,Si,P,S,K,Ca,Mn,Fe,Ti,V,Cr,Co,Ni,Cu,Zn,Sr,Rb,As,Zr,Br,Ba,Ce,Pb,Th,U
1.0,16333.629965024,75524.66353357499,206992.56224928,736.567312256,5248.025435533,10145.104482366,17084.814886800003,1042.5369175672,66858.256322048,9032.002709272401,82.027465147095,62.880925778542995,35.20704580482,71.336357101674,50.518931141705,340.65245097682,190.2081626976,61.76513770603799,8.3829265000962,202.66866398034,77.39344400041999,207.65732829149,92.67781269395,11.5489876878852,6.126643129596999,1.5449026974498001
2.0,14645.890366256,69363.809941419,209692.64799144,814.8521612800001,5282.673186274,10187.032796892,23432.505990696,1117.52886612148,64356.659802624,9751.069104448101,107.520410752365,74.736835177765,31.688083838749996,66.514534725996,40.567899356109,178.68330951369998,228.21193713408,59.581522100428,7.6654256648854,215.64889074054,68.98043196255,262.61523992872,63.68404249515,10.5598660007764,4.819588763294,3.257482155876
3.0,15621.061136879998,74704.809382072,204622.25903097997,714.891259392,6575.260501158,10309.648305788998,15850.914937936,992.52794779404,66871.326530176,8869.783746738201,76.92599739084001,60.633872883411996,37.957234665765,75.643115052204,47.28535753916601,168.03672969136,181.41569175936002,63.32980711781799,7.8761402321016005,208.54388983248,76.81933355232499,215.01226491709997,72.66186619285,12.324955122351199,7.49611981369,3.8450583464202
4.0,16104.34696152,75835.558819598,208285.41009924,742.96458816,6587.91892328,10459.862524251,16016.750774264,964.4741388202401,66847.45673753599,8992.264223642702,75.989862377715,60.623058931363,34.989083676675,72.69475157973,47.90692755342,170.80327330266,186.66239475264,62.991861329002994,7.019945138402,209.20315757057998,76.335668745685,227.47568363569,75.43918827995,12.0350808161136,6.355588778084,1.8433617483996
5.0,15299.88073224,73915.510369168,204283.61461371998,693.038944256,6489.579445683,10583.889845885999,15193.697136072,949.4526568599201,66942.36068448,8991.729803227601,100.202751443145,89.268457411611,39.680702080465,75.349674972432,46.66359817143201,285.62002139623996,195.73038428352,62.373869143754995,9.2740596428602,206.79950760624,71.80867662426,237.51605758664,112.77279568225,12.002958142431199,7.25057676802,4.862317609141201
6.0,15072.681593727999,73833.40813825799,201037.89919871997,649.612110848,6014.013589782,10308.530529549,14242.252252863998,906.84156449028,66215.739835904,8945.7607078125,98.63892812825999,96.64649951917,41.283035894055004,72.942479066898,48.32581208930701,165.87437245296,173.33835062208001,63.022684776198,8.2013502254312,204.6338636166,74.35319777264999,227.16135579010998,92.7076449233,10.9974103970836,6.309582816937,0.9010136152602001
7.0,15208.993485936,74603.981768894,199209.5142734,634.9187377920001,5776.998908498,10038.183050321999,13334.353500352001,868.9731647970801,66448.962270784,8632.0310249316,65.14107914496,67.478001652705,36.849334828135,70.4866017744,49.60646318748701,247.2591147744,170.84797793472,63.23323084742799,9.194820520584,197.18754178896,80.737339604765,206.87538403966,74.81677165875,11.412337127455599,5.195790529738,1.2639901350726
10.0,15039.494495152,73961.469491798,208906.74431112,760.6591118080001,6474.156019065001,10874.525854751999,16801.399955664,1058.36246989764,66356.990698752,9179.6961391993,115.365282678165,91.280793101139,44.779821642,76.770760633434,45.524073166242005,124.07015936728,197.11148030592003,62.96425832053399,7.277513341924,213.42764641284,67.173640036905,233.27786428373,77.10275657644999,10.5907770577224,6.990790362774999,1.5339743980002
11.0,14606.400480751998,72880.97256867499,197557.66618977996,735.137677696,5706.25602265,9908.697863673,15695.289461104001,1109.36695216268,66841.998562624,8745.2488732323,103.66496311158,93.050232923515,41.054549849925,76.331541648726,50.935455647975,196.29306348158,183.74865586944,62.42177515599799,6.844550813671,194.24266006824,74.01394717659,215.2510099362,103.63859364265,9.6988010514612,6.584642635224,2.6526477418974
12.0,15054.752076287998,72979.581549473,200983.3077299,701.687565952,5281.325345964,9774.063192852,13713.404128008,998.66191979592,66816.26036998401,9404.135937739402,115.031951876595,98.911533145545,43.310975574085,75.20502539579401,46.541296889532006,130.16544569829998,177.2903642784,62.227405074995,6.826553548630801,210.76141637016002,70.99183644546,222.27438924061,92.31826895444999,11.9595971080852,6.069325300781999,1.7093229060492001
